date,fund,ret
2022-09-27,Equity Min-Variance,-0.005765601396152379
2022-09-28,Equity Min-Variance,0.022218847567314095
2022-09-29,Equity Min-Variance,-0.016198852307148758
2022-09-30,Equity Min-Variance,-0.016786825319487577
2022-10-03,Equity Min-Variance,0.025849123519041006
2022-10-04,Equity Min-Variance,0.021126097093627647
2022-10-05,Equity Min-Variance,-0.003915638952337011
2022-10-06,Equity Min-Variance,-0.007689183351300883
2022-10-07,Equity Min-Variance,-0.014049790967187016
2022-10-10,Equity Min-Variance,0.0013866733967864918
2022-10-11,Equity Min-Variance,0.01564853039498333
2022-10-12,Equity Min-Variance,-0.00453532305693259
2022-10-13,Equity Min-Variance,0.01919994672111385
2022-10-14,Equity Min-Variance,-0.011583310533084801
2022-10-17,Equity Min-Variance,0.011909713801940298
2022-10-18,Equity Min-Variance,0.010582322035325276
2022-10-19,Equity Min-Variance,-0.007663687554063442
2022-10-20,Equity Min-Variance,-0.0025781602767552285
2022-10-21,Equity Min-Variance,0.020213833251360253
2022-10-24,Equity Min-Variance,0.01752791973746525
2022-10-25,Equity Min-Variance,0.008590380100442116
2022-10-26,Equity Min-Variance,0.012254953341593464
2022-10-27,Equity Min-Variance,0.0013962319376381485
2022-10-28,Equity Min-Variance,0.02278820036194657
2022-10-31,Equity Min-Variance,-0.007490320854808691
2022-11-01,Equity Min-Variance,-0.001223772311465135
2022-11-02,Equity Min-Variance,-0.011270427876920898
2022-11-03,Equity Min-Variance,-0.004951910969107699
2022-11-04,Equity Min-Variance,0.014322617133058458
2022-11-07,Equity Min-Variance,0.013773285587511327
2022-11-08,Equity Min-Variance,0.010951814495190329
2022-11-09,Equity Min-Variance,-0.011843733859504234
2022-11-10,Equity Min-Variance,0.021932274202651283
2022-11-11,Equity Min-Variance,-0.004794555361409547
2022-11-14,Equity Min-Variance,-0.0023680101940258256
2022-11-15,Equity Min-Variance,0.00687212825691806
2022-11-16,Equity Min-Variance,-0.0006893757537683099
2022-11-17,Equity Min-Variance,0.0045603015933603904
2022-11-18,Equity Min-Variance,0.008431874178679143
2022-11-21,Equity Min-Variance,0.0038476088921215006
2022-11-22,Equity Min-Variance,0.00911343471537055
2022-11-23,Equity Min-Variance,-0.0011364053962891892
2022-11-25,Equity Min-Variance,0.0007641633634610059
2022-11-28,Equity Min-Variance,-0.009825433993988962
2022-11-29,Equity Min-Variance,0.0030120153432145968
2022-11-30,Equity Min-Variance,0.017219849403097134
2022-12-01,Equity Min-Variance,0.0009841996879961777
2022-12-02,Equity Min-Variance,0.002881690367067454
2022-12-05,Equity Min-Variance,-0.008076550435595966
2022-12-06,Equity Min-Variance,-0.010912726796274851
2022-12-07,Equity Min-Variance,0.0031996471695133278
2022-12-08,Equity Min-Variance,0.0043172748946197015
2022-12-09,Equity Min-Variance,-0.01655863513857681
2022-12-12,Equity Min-Variance,0.006174113069481284
2022-12-13,Equity Min-Variance,0.0037382039926478535
2022-12-14,Equity Min-Variance,0.0002129585559500133
2022-12-15,Equity Min-Variance,-0.015619449601952991
2022-12-16,Equity Min-Variance,-0.005692198453912967
2022-12-19,Equity Min-Variance,-0.0012974777313708899
2022-12-20,Equity Min-Variance,0.0011535355592422129
2022-12-21,Equity Min-Variance,0.011509171248194432
2022-12-22,Equity Min-Variance,-0.004721477716509246
2022-12-23,Equity Min-Variance,0.004629385426246529
2022-12-27,Equity Min-Variance,0.0013442349877309534
2022-12-28,Equity Min-Variance,-0.01011460196797332
2022-12-29,Equity Min-Variance,0.006339247605013764
2022-12-30,Equity Min-Variance,0.0001223931711861139
2023-01-03,Equity Min-Variance,0.00048290723786652496
2023-01-04,Equity Min-Variance,0.008724141417723817
2023-01-05,Equity Min-Variance,0.001896570106434968
2023-01-06,Equity Min-Variance,0.014981105631036034
2023-01-09,Equity Min-Variance,-0.016850669454778946
2023-01-10,Equity Min-Variance,0.0021366362168490486
2023-01-11,Equity Min-Variance,0.002737245837946602
2023-01-12,Equity Min-Variance,-0.002486806026718036
2023-01-13,Equity Min-Variance,0.00247208503755856
2023-01-17,Equity Min-Variance,-0.0067556614446937
2023-01-18,Equity Min-Variance,-0.01728365256185085
2023-01-19,Equity Min-Variance,-0.0013981967335305635
2023-01-20,Equity Min-Variance,0.008677450539420565
2023-01-23,Equity Min-Variance,0.002668195814288469
2023-01-24,Equity Min-Variance,-0.002770449204007367
2023-01-25,Equity Min-Variance,-0.0016972970721941107
